Ano,faixa_etaria,nMx,Local,sexo,ax,n,nqx,lx,dx,Lx,Tx,ex
2057,85-89,0.1290292107023153,Nordeste,Homens,2.5,5,0.4877961673648301,38577.46937234561,18817.94170646431,145842.49259556728,195241.31176027053,5.06101916317585
2057,90+,0.2128353489090562,Nordeste,Homens,2.5,5,1.0,19759.5276658813,19759.5276658813,49398.81916470325,49398.81916470325,2.5
2058,0,0.0124726492693377,Nordeste,Homens,0.0784765906389025,1,0.0123309196727941,100000.0,1233.0919672794173,99383.45401636028,7482689.15444395,74.8268915444395
2058,1-4,0.0005883617229846,Nordeste,Homens,1.6861229803424551,4,0.0023502472731272,98766.90803272056,232.1266562791092,394603.37881832407,7383305.70042759,74.75485309291618
2058,5-9,8.668129373633084e-05,Nordeste,Homens,2.5,5,0.0004333125684465,98534.78137644146,42.6963591995492,492567.1659842084,6988702.321609266,70.92624780796626
2058,10-14,0.0001380691806541,Nordeste,Homens,2.5,5,0.00069010769676,98492.08501724192,67.97014594034599,492290.4997213587,6496135.155625057,65.95591061441995
2058,15-19,0.0008469458727855,Nordeste,Homens,2.5,5,0.0042257818427003,98424.11487130156,415.91883750700106,491080.7772627403,6003844.655903699,60.99973226840057
2058,20-24,0.0022638769422876,Nordeste,Homens,2.5,5,0.0112556810196131,98008.19603379456,1103.148991864109,487283.1076893126,5512763.878640958,56.24798845129322
2058,25-29,0.0030580297137534,Nordeste,Homens,2.5,5,0.0151741411326065,96905.04704193046,1470.4508602761282,480849.1080589621,5025480.770951645,51.85984553288683
2058,30-34,0.0030945929230996,Nordeste,Homens,2.5,5,0.0153541772945092,95434.59618165434,1465.3197098030178,473509.6816337641,4544631.662892683,47.62037924111121
2058,35-39,0.0032887368065466,Nordeste,Homens,2.5,5,0.0163095891672485,93969.27647185132,1532.600293599486,466014.8816252579,4071121.981258919,43.32396857901137
2058,40-44,0.0042418674888081,Nordeste,Homens,2.5,5,0.0209867795988529,92436.67617825184,1939.9481498035152,457333.5105167504,3605107.099633661,39.00083006751228
2058,45-49,0.0055515365984965,Nordeste,Homens,2.5,5,0.0273777120661866,90496.72802844831,2477.593362894861,446289.6567350045,3147773.5891169105,34.78328617723487
2058,50-54,0.0044224998500226,Nordeste,Homens,2.5,5,0.0218706914262323,88019.13466555346,1925.03933387431,435283.0749930815,2701483.932381906,30.69200739869509
2058,55-59,0.0074558430552052,Nordeste,Homens,2.5,5,0.0365970604289262,86094.09533167916,3150.790809427195,422593.4996348277,2266200.8573888247,26.32237261635937
2058,60-64,0.0111578167455723,Nordeste,Homens,2.5,5,0.054275104551773,82943.30452225196,4501.756524814775,403462.1312992228,1843607.357753997,22.2273198345913
2058,65-69,0.0177738315445672,Nordeste,Homens,2.5,5,0.0850882951613075,78441.54799743718,6674.457588915808,375521.5960148964,1440145.2264547742,18.359469735373224
2058,70-74,0.0214968539702301,Nordeste,Homens,2.5,5,0.1020024409090771,71767.09040852137,7320.418398611599,340534.40604607784,1064623.6304398775,14.834426537005994
2058,75-79,0.0359089673834786,Nordeste,Homens,2.5,5,0.1647544330139406,64446.67200990977,10617.874906628083,295688.6727829786,724089.2243937999,11.235478913208407
2058,80-84,0.0645932102382793,Nordeste,Homens,2.5,5,0.2780635136925525,53828.797103281686,14967.824460382,231724.42436545345,428400.5516108212,7.95857560756645
2058,85-89,0.1290292107023153,Nordeste,Homens,2.5,5,0.4877961673648301,38860.97264289969,18956.233515275984,146914.2794263085,196676.12724536777,5.06101916317585
2058,90+,0.2128353489090562,Nordeste,Homens,2.5,5,1.0,19904.739127623707,19904.739127623707,49761.84781905927,49761.84781905927,2.5
2059,0,0.0124005639194813,Nordeste,Homens,0.0782831135598879,1,0.0122604295494384,100000.0,1226.0429549438495,99386.97852252808,7490875.417950066,74.90875417950066
2059,1-4,0.0005883617229846,Nordeste,Homens,1.6859199879972595,4,0.0023502469928119,98773.95704505614,232.14319551328217,394631.54178919806,7391488.439427538,74.83236128786336
2059,5-9,8.379612972759495e-05,Nordeste,Homens,2.5,5,0.0004188928946296,98541.81384954289,41.27846564548857,492605.8730836006,6996856.89763834,71.00393857496259
2059,10-14,0.0001338371734137,Nordeste,Homens,2.5,5,0.0006689620370984,98500.53538389738,65.8931188056993,492337.9441224727,6504251.024554739,66.0326464135954
2059,15-19,0.0008185967715968,Nordeste,Homens,2.5,5,0.0040846247064895,98434.64226509168,402.06857177045833,491168.0398960323,6011913.080432266,61.07517579270258
2059,20-24,0.0022376034285593,Nordeste,Homens,2.5,5,0.0111257794372614,98032.57369332122,1090.6887925789706,487436.1464851587,5520745.040536234,56.31541468866233
2059,25-29,0.0030580297137534,Nordeste,Homens,2.5,5,0.0151741411326065,96941.88490074224,1471.0098431447614,481031.89989584935,5033308.894051076,51.92088950204163
2059,30-34,0.0030945929230996,Nordeste,Homens,2.5,5,0.0153541772945092,95470.87505759748,1465.8767420962945,473689.6834327467,4552276.994155226,47.68236377229016
2059,35-39,0.0032887368065466,Nordeste,Homens,2.5,5,0.0163095891672485,94004.9983155012,1533.182902193712,466192.0343220217,4078587.31072248,43.38691967243971
2059,40-44,0.0042418674888081,Nordeste,Homens,2.5,5,0.0209867795988529,92471.81541330749,1940.6856091849,457507.3630435752,3612395.2764004585,39.06482489020762
2059,45-49,0.0055515365984965,Nordeste,Homens,2.5,5,0.0273777120661866,90531.12980412258,2478.5352048038367,446459.3110086033,3154887.9133568835,34.84865283558205
2059,50-54,0.0043517382106325,Nordeste,Homens,2.5,5,0.0215245183804091,88052.59459931875,1895.2896908957548,435524.7487693543,2708428.60234828,30.759214020585315
2059,55-59,0.0073842363838209,Nordeste,Homens,2.5,5,0.0362519495077557,86157.304908423,3123.370267264469,422978.09887395386,2272903.8535789256,26.38086063619104
2059,60-64,0.0110493274532308,Nordeste,Homens,2.5,5,0.0537615644413775,83033.93464115853,4464.034228031778,404009.5876357132,1849925.754704972,22.279153248604388
2059,65-69,0.0176511192937704,Nordeste,Homens,2.5,5,0.0845256649790271,78569.90041312674,6641.173079755476,376246.569366245,1445916.1670692584,18.402927322887223
2059,70-74,0.0212652401903274,Nordeste,Homens,2.5,5,0.1009589121605182,71928.72733337127,7261.8460646677,341489.02150518703,1069669.597703013,14.871243206422491
2059,75-79,0.0355669339155708,Nordeste,Homens,2.5,5,0.1633132873326193,64666.88126870356,10560.960961540164,296932.0039396674,728180.5761978263,11.260487005273896
