regiao,Faixa_Etaria,taxa,ano,previsto,previsao_lee_carter_2_1$lmt_inf,previsao_lee_carter_3_1$lmt_max
Piauí,70-74,Mulheres,2058,0.007137938036804467,0.0046537479769131265,0.010948199101029892
Piauí,70-74,Mulheres,2059,0.006974716629626322,0.004508124462993374,0.010790889307276312
Piauí,70-74,Mulheres,2060,0.006815227564704981,0.004367073664667402,0.010635801070750217
Piauí,70-74,Mulheres,2061,0.006659385495522712,0.004230450616011815,0.01048290577134454
Piauí,70-74,Mulheres,2062,0.006507107027158826,0.004098115081312918,0.01033217492011826
Piauí,70-74,Mulheres,2063,0.006358310671662983,0.003969931386054123,0.010183580184635506
Piauí,70-74,Mulheres,2064,0.006212916804449019,0.0038457682556943826,0.010037093410880897
Piauí,70-74,Mulheres,2065,0.0060708476216858554,0.003725498661661981,0.009892686642192316
Piauí,70-74,Mulheres,2066,0.005932027098662762,0.0036089996740549316,0.00975033213558936
Piauí,70-74,Mulheres,2067,0.005796380949106652,0.003496152320595946,0.009610002375823115
Piauí,70-74,Mulheres,2068,0.005663836585429697,0.00338684145143845,0.009471670087428335
Piauí,70-74,Mulheres,2069,0.0055343230798859085,0.0032809556094618646,0.009335308245021193
Piauí,70-74,Mulheres,2070,0.0054077711266159656,0.0031783869057301667,0.00920089008205347
Piauí,75-79,Mulheres,2024,0.028732918753500404,0.025618445506299454,0.032226023233620824
Piauí,75-79,Mulheres,2025,0.028133489492266375,0.02486670926245579,0.03182943197902239
Piauí,75-79,Mulheres,2026,0.02754656558916552,0.024139726933370104,0.03143421124243269
Piauí,75-79,Mulheres,2027,0.0269718861560628,0.02343613498164109,0.031041067282872876
Piauí,75-79,Mulheres,2028,0.02640919574749971,0.022754770059549477,0.0306505237453305
Piauí,75-79,Mulheres,2029,0.025858244247148564,0.02209461623556293,0.030262973948782697
Piauí,75-79,Mulheres,2030,0.025318786756635573,0.021454769506067475,0.029878715902619986
Piauí,75-79,Mulheres,2031,0.0247905834866833,0.020834413179723024,0.0294979764636877
Piauí,75-79,Mulheres,2032,0.024273399650524198,0.020232800339397578,0.029120928428615706
Piauí,75-79,Mulheres,2033,0.02376700535953769,0.019649241048550165,0.02874770289420276
Piauí,75-79,Mulheres,2034,0.023271175521064447,0.01908309282011023,0.02837839836745399
Piauí,75-79,Mulheres,2035,0.0227856897383526,0.01853375337952678,0.028013087593254868
Piauí,75-79,Mulheres,2036,0.022310332212591166,0.018000655073380306,0.02765182274795465
Piauí,75-79,Mulheres,2037,0.021844891646987295,0.01748326047947264,0.027294639442620124
Piauí,75-79,Mulheres,2038,0.021389161152844727,0.01698105890833808,0.026941559845700864
Piauí,75-79,Mulheres,2039,0.020942938157601575,0.016493563575864546,0.02659259514511153
Piauí,75-79,Mulheres,2040,0.020506024314786646,0.01602030928797964,0.026247747508478407
Piauí,75-79,Mulheres,2041,0.020078225415854314,0.015560850520918714,0.02590701165774436
