regiao,Faixa_Etaria,taxa,ano,previsto,lmt_inf,lmt_max
Ceará,20-24,Ambos,2054,0.0032411505753045713,0.005765971283322787,0.0018219058915852522
Ceará,20-24,Ambos,2055,0.003279063707028836,0.005919279353417372,0.0018164810533137096
Ceará,20-24,Ambos,2056,0.0033174203249546007,0.006076510310093538,0.001811118067905077
Ceará,20-24,Ambos,2057,0.0033562256167306323,0.006237771427484484,0.0018058132654183315
Ceará,20-24,Ambos,2058,0.003395484830687853,0.006403172337979294,0.001800563318754862
Ceará,20-24,Ambos,2059,0.00343520327654917,0.006572825142510893,0.0017953652037525788
Ceará,20-24,Ambos,2060,0.0034753863261475938,0.0067468445171645665,0.0017902161647930946
Ceará,20-24,Ambos,2061,0.0035160394141527844,0.006925347817032754,0.0017851136850441582
Ceará,20-24,Ambos,2062,0.0035571680388060667,0.007108455178085146,0.001780055460617247
Ceará,20-24,Ambos,2063,0.0035987777626640565,0.007296289617698363,0.0017750393780463472
Ceará,20-24,Ambos,2064,0.00364087421335099,0.007488977134389036,0.001770063494595731
Ceará,20-24,Ambos,2065,0.0036834630843198355,0.00768664680721313,0.001765126020986799
Ceará,20-24,Ambos,2066,0.0037265501356223345,0.007889430895228627,0.0017602253062011777
Ceará,20-24,Ambos,2067,0.0037701411946880303,0.008097464937365382,0.0017553598240720991
Ceará,20-24,Ambos,2068,0.0038142421571124127,0.008310887853002076,0.0017505281614212068
Ceará,20-24,Ambos,2069,0.0038588589874542912,0.0085298420435145645,0.0017457290075352052
Ceará,20-24,Ambos,2070,0.0039039977200424733,0.008754473495030606,0.0017409611448076622
Ceará,25-29,Ambos,2024,0.0019605417780492167,0.0019382825638174523,0.0019830566168361746
Ceará,25-29,Ambos,2025,0.0019567708592864255,0.0019247851279771216,0.0019892881236965015
Ceará,25-29,Ambos,2026,0.0019530071935332247,0.0019132153488436042,0.001993626645478221
Ceará,25-29,Ambos,2027,0.0019492507668391254,0.001902602486789272,0.0019970427760950104
Ceará,25-29,Ambos,2028,0.0019455015652804762,0.0018925808088863514,0.0019999021033801833
Ceará,25-29,Ambos,2029,0.0019417595749604045,0.0018829678552232082,0.002002386942767786
Ceará,25-29,Ambos,2030,0.0019380247820087676,0.0018736582080380452,0.002004602568156267
Ceará,25-29,Ambos,2031,0.001934297172582102,0.001864585071223307,0.002006615632401478
Ceará,25-29,Ambos,2032,0.0019305767328635659,0.0018557033222646802,0.0020084711153750675
Ceará,25-29,Ambos,2033,0.0019268634490628976,0.001846981004187863,0.0020102008320151206
Ceará,25-29,Ambos,2034,0.0019231573074163584,0.001838394643189015,0.0020118281146931493
Ceará,25-29,Ambos,2035,0.0019194582941866845,0.0018299264873513621,0.002013370574494904
Ceará,25-29,Ambos,2036,0.0019157663956630296,0.0018215627879121122,0.002014841819950922
Ceará,25-29,Ambos,2037,0.0019120815981609233,0.0018132926819520263,0.0020162525743443976
Ceará,25-29,Ambos,2038,0.001908403888022215,0.0018051074396169587,0.0020176114284871237
Ceará,25-29,Ambos,2039,0.0019047332516150236,0.0017969999415108394,0.002018925363323981
Ceará,25-29,Ambos,2040,0.0019010696753336903,0.0017889643065121404,0.00202020012211396
Ceará,25-29,Ambos,2041,0.0018974131455987194,0.0017809956208284534,0.0020214404813730844
Ceará,25-29,Ambos,2042,0.0018937636488567402,0.0017730897369394242,0.002022650451929
Ceará,25-29,Ambos,2043,0.0018901211715804478,0.0017652431218684792,0.002023833430646741
Ceará,25-29,Ambos,2044,0.0018864857002685584,0.0017574527409593126,0.002024992316649806
Ceará,25-29,Ambos,2045,0.0018828572214457512,0.001749715967654696,0.0020261296015388745
Ceará,25-29,Ambos,2046,0.0018792357216626293,0.0017420305126164563,0.0020272474402693776
Ceará,25-29,Ambos,2047,0.0018756211874956623,0.0017343943674342664,0.0020283477074402854
Ceará,25-29,Ambos,2048,0.0018720136055471388,0.0017268057594786348,0.0020294320424386783
Ceará,25-29,Ambos,2049,0.0018684129624451187,0.0017192631153652403,0.002030501885973005
Ceará,25-29,Ambos,2050,0.0018648192448433762,0.001711765031143667,0.0020315585098819263
Ceará,25-29,Ambos,2051,0.001861232439421361,0.001704310247787935,0.002032603041641415
Ceará,25-29,Ambos,2052,0.001857652532884142,0.0016968976309043714,0.002033636484654474
Ceará,25-29,Ambos,2053,0.0018540795119623588,0.0016895261538218635,0.0020346597351585177
Ceará,25-29,Ambos,2054,0.0018505133634121762,0.0016821948834154763,0.002035673596399396
Ceará,25-29,Ambos,2055,0.0018469540740152267,0.0016749029681546322,0.002036678790580845
Ceará,25-29,Ambos,2056,0.0018434016305785724,0.001667649627973714,0.002037675968991552
Ceará,25-29,Ambos,2057,0.0018398560199346483,0.0016604341456448544,0.0020386657206300255
Ceará,25-29,Ambos,2058,0.0018363172289412172,0.0016532558593961178,0.002039648579584083
Ceará,25-29,Ambos,2059,0.0018327852444813204,0.0016461141565677702,0.002040625031372274
Ceará,25-29,Ambos,2060,0.0018292600534632242,0.0016390084681382618,0.0020415955184155906
Ceará,25-29,Ambos,2061,0.00182574164282038,0.0016319382639823543,0.0020425604447770348
Ceará,25-29,Ambos,2062,0.00182222999951137,0.001624903048748393,0.002043520180282076
Ceará,25-29,Ambos,2063,0.0018187251105198623,0.0016179023582614106,0.0020444750641132542
Ceará,25-29,Ambos,2064,0.0018152269628545557,0.0016109357563746352,0.0020454254079564217
Ceará,25-29,Ambos,2065,0.0018117355435491411,0.0016040028322048272,0.002046371498763131
Ceará,25-29,Ambos,2066,0.0018082508396622475,0.0015971031976974288,0.00204731360118326
Ceará,25-29,Ambos,2067,0.0018047728382773955,0.0015902364854760325,0.002048251959713284
Ceará,25-29,Ambos,2068,0.0018013015265029508,0.001583402346937828,0.0020491868005986097
Ceará,25-29,Ambos,2069,0.00179783689147207,0.0015766004505624917,0.002050118333522471
Ceará,25-29,Ambos,2070,0.0017943789203426629,0.001569830480406867,0.0020510467531090347
Ceará,30-34,Ambos,2024,0.0019138824443029848,0.0017874930495522716,0.0020492085334422178
Ceará,30-34,Ambos,2025,0.001891962429321341,0.001714297757465262,0.002088039734273549
Ceará,30-34,Ambos,2026,0.001870293467928815,0.0016535593481450674,0.0021154352035209277
Ceará,30-34,Ambos,2027,0.0018488726847667623,0.001599431072399004,0.002137216328647078
Ceará,30-34,Ambos,2028,0.0018276972374085,0.0015496807238909475,0.0021555905936826592
Ceará,30-34,Ambos,2029,0.0018067643159821282,0.001503177164162923,0.0021716650381155946
Ceará,30-34,Ambos,2030,0.0017860711427976832,0.001459254552425203,0.0021860820114166708
Ceará,30-34,Ambos,2031,0.0017656149719785471,0.0014174815456828298,0.0021992499576233213
Ceará,30-34,Ambos,2032,0.0017453930890970817,0.0013775591313903036,0.0022114455677799275
Ceará,30-34,Ambos,2033,0.0017254028108144455,0.0013392691671996599,0.002222865225659731
Ceará,30-34,Ambos,2034,0.0017056414845245242,0.001302445968479337,0.002233653406081524
Ceará,30-34,Ambos,2035,0.0016861064880019398,0.0012669594998679294,0.0022439194695478364
Ceará,30-34,Ambos,2036,0.0016667952290541038,0.0012327048801231359,0.002253748143935317
Ceará,30-34,Ambos,2037,0.0016477051451772413,0.001199595537829908,0.002263206355664608
Ceará,30-34,Ambos,2038,0.0016288337032163566,0.001167558585155599,0.0022723478431533567
Ceará,30-34,Ambos,2039,0.0016101783990291054,0.0011365315953060654,0.0022812163668901185
Ceará,30-34,Ambos,2040,0.0015917367571535034,0.0011064602993715075,0.0022898480004322802
Ceará,30-34,Ambos,2041,0.001573506330479441,0.0010772969032801986,0.0022982728016019394
Ceará,30-34,Ambos,2042,0.0015554846999239734,0.0010489988337465223,0.002306516054985647
Ceará,30-34,Ambos,2043,0.0015376694741103163,0.0010215277876509915,0.00231459921129283
Ceará,30-34,Ambos,2044,0.001520058289050519,9.94849000276664e-4,0.0023225406081411625
Ceará,30-34,Ambos,2045,0.0015026488078317825,9.689306741669695e-4,0.00233035603049675
Ceará,30-34,Ambos,2046,0.001485438720306361,9.437435277141934e-4,0.002338059151652937
Ceará,30-34,Ambos,2047,0.0014684257427850114,9.192604342585359e-4,0.002345661883961031
Ceará,30-34,Ambos,2048,0.0014516076177339694,8.954561304846621e-4,0.002353174660519433
Ceará,30-34,Ambos,2049,0.0014349821134753808,8.723069784934497e-4,0.002360606663437041
Ceará,30-34,Ambos,2050,0.0014185470238911669,8.497907698928226e-4,0.0023679660103207278
Ceará,30-34,Ambos,2051,0.001402300168130291,8.278865631064624e-4,0.0023752599077820355
Ceará,30-34,Ambos,2052,0.0013862393903193672,8.065745471815955e-4,0.002382494778675875
Ceará,30-34,Ambos,2053,0.0013703625592765838,7.858359269146033e-4,0.002389676368246698
Ceará,30-34,Ambos,2054,0.0013546675682289133,7.656528252614335e-4,0.0023968098332094977
Ceará,30-34,Ambos,2055,0.0013391523345325513,7.460081998660828e-4,0.002403899816926817
Ceará,30-34,Ambos,2056,0.0013238147993965574,7.268857712005212e-4,0.0024109505131830393
Ceará,30-34,Ambos,2057,0.0013086529276096698,7.082699603168344e-4,0.002417965720549923
Ceará,30-34,Ambos,2058,0.0012936647072702416,6.901458346057533e-4,0.002424948888944069
Ceará,30-34,Ambos,2059,0.001278848149519268,6.724990602631079e-4,0.0024319031596698485
Ceará,30-34,Ambos,2060,0.0012642012882764808,6.553158604077079e-4,0.002438831399999357
Ceará,30-34,Ambos,2061,0.0012497221799794578,6.385829779858998e-4,0.002445736233149472
Ceará,30-34,Ambos,2062,0.0012354089033257177,6.222876427510655e-4,0.002452620064363056
Ceará,30-34,Ambos,2063,0.0012212595590177812,6.064175417291246e-4,0.0024594851036788103
Ceará,30-34,Ambos,2064,0.001207272269511139,5.909607926802805e-4,0.002466333385875076
Ceará,30-34,Ambos,2065,0.00119344517876511,5.759059201477189e-4,0.002473166787992649
Ceará,30-34,Ambos,2066,0.0011797764519965589,5.612418337497182e-4,0.002479987044775932
Ceará,30-34,Ambos,2067,0.0011662642754364288,5.469578084254736e-4,0.0024867957623180893
Ceará,30-34,Ambos,2068,0.0011529068560890586,5.330434663893689e-4,0.0024935944301514583
Ceará,30-34,Ambos,2069,0.0011397024214942694,5.194887605851881e-4,0.0025003844319879147
Ceará,30-34,Ambos,2070,0.001126649219492163,5.062839594623117e-4,0.002507167055283314
